URI	Related URI	According to	Description
https://usaybia.net/person/1221	https://onomasticon.irht.cnrs.fr/en/entry/id/250676	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1221	https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A8%D9%86_%D8%B9%D8%A8%D8%A7%D8%B3_%D8%A7%D9%84%D8%AF%D9%86%D9%8A%D8%B3%D8%B1%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1234	https://onomasticon.irht.cnrs.fr/en/entry/id/4114	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1240	https://onomasticon.irht.cnrs.fr/en/entry/id/4105	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1240	https://viaf.org/viaf/50144814343671359582	https://usaybia.net	is probably the same as
https://usaybia.net/person/1245	https://onomasticon.irht.cnrs.fr/en/entry/id/4144	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1246	https://onomasticon.irht.cnrs.fr/en/entry/id/4131	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1246	https://viaf.org/viaf/283325429	https://usaybia.net	is probably the same as
https://usaybia.net/person/1250	https://onomasticon.irht.cnrs.fr/en/entry/id/4138	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1255	https://onomasticon.irht.cnrs.fr/en/entry/id/4207	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1257	https://onomasticon.irht.cnrs.fr/en/entry/id/4237	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1257	https://ar.wikipedia.org/wiki/%D8%A5%D8%B3%D8%AD%D8%A7%D9%82_%D8%A8%D9%86_%D8%B9%D9%84%D9%8A_%D8%A7%D9%84%D8%B1%D9%87%D8%A7%D9%88%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1257	https://viaf.org/viaf/40185357	https://usaybia.net	is probably the same as
https://usaybia.net/person/1258	https://onomasticon.irht.cnrs.fr/en/entry/id/30088	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1258	https://onomasticon.irht.cnrs.fr/en/entry/id/50087	https://usaybia.net	is the primary entity described by
